Liga,Dia,Hora,Visita,Local,cuota_visita,cuota_local,cuota_empate,cuota_over,cuota_under
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Celtic FC,RB Leipzig,6.42,1.42,4.74,1.85,1.91
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Bayer Leverkusen,FC Zurich,1.86,4.01,3.54,1.85,1.91
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Fenerbahce,RSC Anderlecht,3.04,2.23,3.42,1.90,1.87
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,GNK Dinamo Zagreb,FC Spartak Trnava,1.77,4.52,3.53,1.98,1.79
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,FC Vorskla Poltava,Qarabag FK,5.05,1.70,3.53,1.95,1.82
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Olympiacos FC,F91 Dudelange,1.58,5.56,3.89,1.84,1.94
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Real Betis Balompie,AC Milan,3.84,1.93,3.47,1.91,1.85
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Arsenal FC,Sporting CP,2.33,3.02,3.24,2.00,1.77
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,SK Slavia Prague,FC Copenhagen,2.90,2.42,3.21,1.84,1.94
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,FC Girondins Bordeaux,FC Zenit St Petersburg,4.75,1.74,3.54,1.79,1.98
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Rosenborg BK,FC Salzburg,12.61,1.20,6.51,1.86,1.90
UEFA - LIGA EUROPEA - OCT 25,10/25,10:55,Ludogorets 1945 Razgrad,AEK Larnaca FC,2.49,2.85,3.18,1.87,1.90
UEFA - LIGA EUROPEA - OCT 25,10/25,13:00,Vidi FC,Paok Fc,8.86,1.34,4.71,1.98,1.79
UEFA - LIGA EUROPEA - OCT 25,10/25,13:00,FC Astana,FK Jablonec,3.38,2.15,3.25,1.89,1.89
UEFA - LIGA EUROPEA - OCT 25,10/25,13:00,Malmo FF,Sarpsborg,2.28,3.02,3.34,1.99,1.78
